Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,33896,-,-,-,28.65,77.25,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Snow Depth,Wind Speed,
2000,1,1,0,0,0,0,0,0,2.9000000000000004,N/A
2000,1,1,1,0,0,0,0,0,2.7,N/A
2000,1,1,2,0,0,0,0,0,2.3000000000000003,N/A
2000,1,1,3,0,0,0,0,0,2,N/A
2000,1,1,4,0,0,0,0,0,1.7000000000000002,N/A
2000,1,1,5,0,0,0,0,0,0.5,N/A
2000,1,1,6,0,0,0,0,0,0.6000000000000001,N/A
2000,1,1,7,0,8,0,8,0,0.7000000000000001,N/A
2000,1,1,8,0,109,51,121,0,0.7000000000000001,N/A
2000,1,1,9,0,190,48,210,0,0.6000000000000001,N/A
2000,1,1,10,0,262,84,306,0,0.8,N/A
2000,1,1,11,0,302,295,479,0,0.7000000000000001,N/A
2000,1,1,12,0,246,576,603,0,0.4,N/A
2000,1,1,13,0,200,638,575,0,0.30000000000000004,N/A
2000,1,1,14,0,184,573,472,0,0.30000000000000004,N/A
2000,1,1,15,0,159,432,319,0,0.5,N/A
2000,1,1,16,0,97,145,126,0,0.7000000000000001,N/A
2000,1,1,17,0,0,0,0,0,0.8,N/A
2000,1,1,18,0,0,0,0,0,0.8,N/A
2000,1,1,19,0,0,0,0,0,0.7000000000000001,N/A
2000,1,1,20,0,0,0,0,0,0.4,N/A
2000,1,1,21,0,0,0,0,0,0.2,N/A
2000,1,1,22,0,0,0,0,0,0.2,N/A
2000,1,1,23,0,0,0,0,0,0.5,N/A
2000,1,2,0,0,0,0,0,0,0.7000000000000001,N/A
2000,1,2,1,0,0,0,0,0,1,N/A
2000,1,2,2,0,0,0,0,0,1,N/A
2000,1,2,3,0,0,0,0,0,1,N/A
